tps,cores,blk_size,platform
3477.656059815684,64,100,BachLedger
5656.748500961648,64,100,BachLedger
4750.593824228029,64,100,BachLedger
4431.445537534343,64,100,BachLedger
4870.208931963181,64,100,BachLedger
5298.013245033113,64,100,BachLedger
4325.259515570935,64,100,BachLedger
4586.735161911751,64,100,BachLedger
3733.7116827838554,64,100,BachLedger
4962.286621675268,64,100,BachLedger
5455.83501554913,64,100,BachLedger
4644.250417982537,64,100,BachLedger
5104.905814487723,64,100,BachLedger
4423.017382458313,64,100,BachLedger
3468.849729429721,64,100,BachLedger
5354.178936660063,64,100,BachLedger
5110.906674844117,64,100,BachLedger
4627.273147933923,64,100,BachLedger
3973.4573052012556,64,100,BachLedger
5559.879906594018,64,100,BachLedger
4427.521473479147,64,100,BachLedger
4471.671958145151,64,100,BachLedger
4810.930433945925,64,100,BachLedger
4984.796371068242,64,100,BachLedger
5385.029617662897,64,100,BachLedger
4492.968504290785,64,100,BachLedger
4965.4898455732655,64,100,BachLedger
4128.307806630062,64,100,BachLedger
4368.338284116721,64,100,BachLedger
5199.396869963084,64,100,BachLedger
4134.623335814107,64,100,BachLedger
4826.487764853517,64,100,BachLedger
4786.062984588877,64,100,BachLedger
5150.126178091364,64,100,BachLedger
4582.321404023278,64,100,BachLedger
3974.4048328762765,64,100,BachLedger
4724.5582538032695,64,100,BachLedger
4160.252943378957,64,100,BachLedger
5027.904872039821,64,100,BachLedger
4568.713450292397,64,100,BachLedger
5092.168245238822,64,100,BachLedger
4769.854519437157,64,100,BachLedger
3338.5637498748038,64,100,BachLedger
4627.273147933923,64,100,BachLedger
4534.324839031468,64,100,BachLedger
4021.23210551713,64,100,BachLedger
4268.57899005421,64,100,BachLedger
3834.2088110118475,64,100,BachLedger
4298.486932599724,64,100,BachLedger
4136.504653567736,64,100,BachLedger
4165.278240586472,64,100,BachLedger
3686.6359447004606,64,100,BachLedger
4740.235115661737,64,100,BachLedger
4837.461300309598,64,100,BachLedger
4812.319538017324,64,100,BachLedger
4639.510067736846,64,100,BachLedger
4433.606739082243,64,100,BachLedger
4418.32722131401,64,100,BachLedger
4477.478284230321,64,100,BachLedger
4434.786465031709,64,100,BachLedger
4278.807068589277,64,100,BachLedger
3844.231730288702,64,100,BachLedger
4358.437935843794,64,100,BachLedger
4212.654815064454,64,100,BachLedger
4437.344692935747,64,100,BachLedger
4378.283712784589,64,100,BachLedger
3881.0835985407125,64,100,BachLedger
4345.9365493263795,64,100,BachLedger
4395.0248318903,64,100,BachLedger
4330.504070673826,64,100,BachLedger
3263.4945499641017,64,100,BachLedger
3998.240774059414,64,100,BachLedger
3471.257983893363,64,100,BachLedger
3202.3569347039424,64,100,BachLedger
2934.552651334198,64,100,BachLedger
1449.2753623188405,64,100,FISCO-BCOS
961.5384615384615,64,100,FISCO-BCOS
502.5125628140703,64,100,FISCO-BCOS
1219.5121951219512,64,100,FISCO-BCOS
854.7008547008546,64,100,FISCO-BCOS
1408.450704225352,64,100,FISCO-BCOS
529.1005291005291,64,100,FISCO-BCOS
746.2686567164179,64,100,FISCO-BCOS
1052.6315789473683,64,100,FISCO-BCOS
854.7008547008546,64,100,FISCO-BCOS
1515.1515151515152,64,100,FISCO-BCOS
666.6666666666666,64,100,FISCO-BCOS
1369.86301369863,64,100,FISCO-BCOS
1587.3015873015872,64,100,FISCO-BCOS
925.925925925926,64,100,FISCO-BCOS
925.925925925926,64,100,FISCO-BCOS
952.3809523809523,64,100,FISCO-BCOS
1408.450704225352,64,100,FISCO-BCOS
1470.5882352941178,64,100,FISCO-BCOS
1265.8227848101267,64,100,FISCO-BCOS
1666.6666666666667,64,100,FISCO-BCOS
917.4311926605506,64,100,FISCO-BCOS
1470.5882352941178,64,100,FISCO-BCOS
1587.3015873015872,64,100,FISCO-BCOS
751.8796992481202,64,100,FISCO-BCOS
1041.6666666666667,64,100,FISCO-BCOS
1123.5955056179776,64,100,FISCO-BCOS
641.0256410256411,64,100,FISCO-BCOS
934.5794392523364,64,100,FISCO-BCOS
